ClientId Domain,Client Id,Status,GiasId,GiasId Type,Client Id Encrypted
"3PCustomerSales","278904079636201","SUCCESSFUL","35230222887318000179550010000225141866375931","NFE_ACCESS_CODE",
"3PCustomerSales","279267934608201","SUCCESSFUL","35230231739137000196550030000066121317391373","NFE_ACCESS_CODE",
"3PCustomerSales","279221550543201","SUCCESSFUL","41230215067686000105550030000269541958518040","NFE_ACCESS_CODE",
"3PCustomerSales","279067569404201","SUCCESSFUL","31230235506216000370550010005086771213194022","NFE_ACCESS_CODE",
"3PCustomerSales","279363751121201","SUCCESSFUL","42230327288294000155550010001599981010684459","NFE_ACCESS_CODE",
"3PCustomerSales","279155018883201","SUCCESSFUL","33230212446114000149550010000784961943940015","NFE_ACCESS_CODE",
"3PCustomerSales","279390744386201","SUCCESSFUL","35230333378115000173550030000842721333781158","NFE_ACCESS_CODE",
"3PCustomerSales","278172568895201","SUCCESSFUL","33230210338524000140550010001961651690045157","NFE_ACCESS_CODE",
"3PCustomerSales","279366027213201","SUCCESSFUL","35230324259537000139550010002197391020290502","NFE_ACCESS_CODE",
"3PCustomerSales","278739072443201","SUCCESSFUL","31230207671166000189550010001389711175810351","NFE_ACCESS_CODE",
"3PCustomerSales","279267940627201","SUCCESSFUL","31230315171006000280550030000363381000406286","NFE_ACCESS_CODE",
"3PCustomerSales","279274021286201","SUCCESSFUL","35230221611372000124550010034609071159165849","NFE_ACCESS_CODE",
"3PCustomerSales","279234100704201","SUCCESSFUL","32230214548476000338550010015927311658585013","NFE_ACCESS_CODE",
"3PCustomerSales","279375917015201","SUCCESSFUL","35230346735844000181550010000718271017926224","NFE_ACCESS_CODE",
"3PCustomerSales","279241319955201","SUCCESSFUL","35230214871851000114550010005658601134930993","NFE_ACCESS_CODE",
"3PCustomerSales","278663412157201","SUCCESSFUL","32230213477477000457550030000353341134774778","NFE_ACCESS_CODE",
"3PCustomerSales","279247024888201","SUCCESSFUL","35230241002305000110550010000158911968730382","NFE_ACCESS_CODE",
"3PCustomerSales","279328390120201","SUCCESSFUL","35230310213637000110550010000233171996031900","NFE_ACCESS_CODE",
"3PCustomerSales","278836028120201","SUCCESSFUL","35230237095465000183550010000526141862224939","NFE_ACCESS_CODE",
"3PCustomerSales","278829180825201","SUCCESSFUL","52230239677746000170550020000312231862169168","NFE_ACCESS_CODE",
"3PCustomerSales","279226873731201","SUCCESSFUL","32230314548476000338550010015931831397107336","NFE_ACCESS_CODE",
"3PCustomerSales","279251589799201","SUCCESSFUL","43230234499391000152550010000196371425891874","NFE_ACCESS_CODE",
"3PCustomerSales","278739070571201","SUCCESSFUL","35230207658434000122550030000382701846487090","NFE_ACCESS_CODE",
"3PCustomerSales","279359569762201","SUCCESSFUL","35230328412503000193550010002186201939229998","NFE_ACCESS_CODE",
"3PCustomerSales","279094184187201","SUCCESSFUL","35230239958456000102550010000178451926007235","NFE_ACCESS_CODE",
"3PCustomerSales","278470649561201","SUCCESSFUL","35230222887318000179550010000221061783267798","NFE_ACCESS_CODE",
"3PCustomerSales","278988867521201","SUCCESSFUL","35230201452789000184551000000066491925920658","NFE_ACCESS_CODE",
"3PCustomerSales","278568363606201","SUCCESSFUL","35230218744639000147550000004777301310356554","NFE_ACCESS_CODE",
"3PCustomerSales","278475590055201","SUCCESSFUL","35230222887318000179550010000220981781115911","NFE_ACCESS_CODE",
"3PCustomerSales","279259954662201","SUCCESSFUL","35230231227909000100550060000142331312279090","NFE_ACCESS_CODE",
"3PCustomerSales","278983923790201","SUCCESSFUL","35230310706602000112550010001110911005995103","NFE_ACCESS_CODE",
"3PCustomerSales","278279784718201","SUCCESSFUL","41230238169494000105550010000127081722101830","NFE_ACCESS_CODE",
"3PCustomerSales","279139047356201","SUCCESSFUL","35230239454224000109550020000289881341751280","NFE_ACCESS_CODE",
"3PCustomerSales","279214326287201","SUCCESSFUL","35230237670834000114550010000244951962524096","NFE_ACCESS_CODE",
"3PCustomerSales","279064721572201","SUCCESSFUL","32230214548476000338550010015909111787525741","NFE_ACCESS_CODE",
"3PCustomerSales","279223836307201","SUCCESSFUL","35230233890083000190550010001109371957280145","NFE_ACCESS_CODE",
"3PCustomerSales","279364318688201","SUCCESSFUL","42230335476615000254550010000735391012634809","NFE_ACCESS_CODE",
"3PCustomerSales","279232195047201","SUCCESSFUL","53230236912452000197550010000074681966250026","NFE_ACCESS_CODE",
"3PCustomerSales","279356908077201","SUCCESSFUL","42230338009582000140550010000324871010643100","NFE_ACCESS_CODE",
"3PCustomerSales","278925559887201","SUCCESSFUL","35230246735844000181550010000712941869999940","NFE_ACCESS_CODE",
"3PCustomerSales","279260524387201","SUCCESSFUL","35230209631695000184550030000631391976490838","NFE_ACCESS_CODE",
"3PCustomerSales","278879562403201","SUCCESSFUL","35230218744639000147550000004798731158935927","NFE_ACCESS_CODE",
"3PCustomerSales","279051027502201","SUCCESSFUL","42230239475973000112550010000208991972053420","NFE_ACCESS_CODE",
"3PCustomerSales","279298163235201","SUCCESSFUL","33230230054197000102550010000091671989508690","NFE_ACCESS_CODE",
"3PCustomerSales","279304628967201","SUCCESSFUL","35230218009967000108550010001004911990189840","NFE_ACCESS_CODE",
"3PCustomerSales","279214138138201","SUCCESSFUL","33230240570711000116550010000202861405707113","NFE_ACCESS_CODE",
"3PCustomerSales","279299681531201","SUCCESSFUL","35230333725378000101550010000222551004313006","NFE_ACCESS_CODE",
"3PCustomerSales","278188730872201","SUCCESSFUL","35230218943697000108550030000153891693999734","NFE_ACCESS_CODE",
"3PCustomerSales","279243035344201","SUCCESSFUL","42230242260015000139550540000047811883296390","NFE_ACCESS_CODE",
