ClientId Domain,Client Id,Status,GiasId,GiasId Type,Client Id Encrypted
"3PCustomerSales","280440106401201","SUCCESSFUL","35230336670808000123550040000854391374962634","NFE_ACCESS_CODE",
"3PCustomerSales","280420971337201","SUCCESSFUL","31230329537195000195550100001157931813574930","NFE_ACCESS_CODE",
"3PCustomerSales","280395946727201","SUCCESSFUL","35230367508572000157550030000015031362622051","NFE_ACCESS_CODE",
"3PCustomerSales","280455080555201","SUCCESSFUL","31230329537195000195550100001158351247442972","NFE_ACCESS_CODE",
"3PCustomerSales","279792837584201","SUCCESSFUL","35230367508572000157550030000014041203008733","NFE_ACCESS_CODE",
"3PCustomerSales","280126131831201","SUCCESSFUL","52230339677746000170550020000334631379204468","NFE_ACCESS_CODE",
"3PCustomerSales","280124291525201","SUCCESSFUL","52230339677746000170550020000334881379350110","NFE_ACCESS_CODE",
"3PCustomerSales","280346266421201","SUCCESSFUL","35230316543288000180550010000266221342845410","NFE_ACCESS_CODE",
"3PCustomerSales","280460531247201","SUCCESSFUL","35230336670808000123550040000854691384899551","NFE_ACCESS_CODE",
"3PCustomerSales","280190579097201","SUCCESSFUL","52230339677746000170550020000334471379045420","NFE_ACCESS_CODE",
"3PCustomerSales","280347745405201","SUCCESSFUL","35230367508572000157550030000015091362656065","NFE_ACCESS_CODE",
"3PCustomerSales","280436022672201","SUCCESSFUL","31230329537195000195550100001158241120915297","NFE_ACCESS_CODE",
"3PCustomerSales","280315507706201","SUCCESSFUL","32230371052559000537550020007002071395508494","NFE_ACCESS_CODE",
"3PCustomerSales","280074336321201","SUCCESSFUL","52230339677746000170550020000335171386586454","NFE_ACCESS_CODE",
"3PCustomerSales","280387988153201","SUCCESSFUL","35230367508572000157550030000015061362638294","NFE_ACCESS_CODE",
"3PCustomerSales","280430237524201","SUCCESSFUL","35230346842055000140550020000040141408967203","NFE_ACCESS_CODE",
"3PCustomerSales","280097891502201","SUCCESSFUL","52230339677746000170550020000335181386589876","NFE_ACCESS_CODE",
"3PCustomerSales","280436321121201","SUCCESSFUL","31230336548165000140550010000145301369842246","NFE_ACCESS_CODE",
"3PCustomerSales","280448485182201","SUCCESSFUL","31230329537195000195550100001158271447336813","NFE_ACCESS_CODE",
"3PCustomerSales","280358476853201","SUCCESSFUL","31230329537195000195550100001157381495704329","NFE_ACCESS_CODE",
"3PCustomerSales","280346253733201","SUCCESSFUL","31230329537195000195550100001157031148723923","NFE_ACCESS_CODE",
"3PCustomerSales","280123820574201","SUCCESSFUL","52230339677746000170550020000334991379369672","NFE_ACCESS_CODE",
"3PCustomerSales","280388097257201","SUCCESSFUL","29230344301937000172550010000031561354721256","NFE_ACCESS_CODE",
"3PCustomerSales","280441959936201","SUCCESSFUL","31230329537195000195550100001158231525784727","NFE_ACCESS_CODE",
"3PCustomerSales","280392466843201","SUCCESSFUL","29230323525440000168550010000053531354938217","NFE_ACCESS_CODE",
"3PCustomerSales","280381533432201","SUCCESSFUL","31230329537195000195550100001157651047735767","NFE_ACCESS_CODE",
"3PCustomerSales","280354874449201","SUCCESSFUL","35230316543288000180550010000266251348053054","NFE_ACCESS_CODE",
"3PCustomerSales","280436184036201","SUCCESSFUL","31230336548165000140550010000145381373011564","NFE_ACCESS_CODE",
"3PCustomerSales","280117801543201","SUCCESSFUL","52230339677746000170550020000334931379359711","NFE_ACCESS_CODE",
"3PCustomerSales","280077364887201","SUCCESSFUL","52230339677746000170550020000335201386594673","NFE_ACCESS_CODE",
"3PCustomerSales","280442168924201","SUCCESSFUL","35230336670808000123550040000854511379342612","NFE_ACCESS_CODE",
"3PCustomerSales","280391749451201","SUCCESSFUL","35230367508572000157550030000015041362627514","NFE_ACCESS_CODE",
"3PCustomerSales","280128021532201","SUCCESSFUL","52230339677746000170550020000335031379376517","NFE_ACCESS_CODE",
"3PCustomerSales","280347004829201","SUCCESSFUL","31230329537195000195550100001157151105305586","NFE_ACCESS_CODE",
"3PCustomerSales","280367555866201","SUCCESSFUL","35230332649860000147550030003000111354249000","NFE_ACCESS_CODE",
"3PCustomerSales","280430182495201","SUCCESSFUL","31230329537195000195550100001158541012924093","NFE_ACCESS_CODE",
"3PCustomerSales","280366691093201","SUCCESSFUL","35230316543288000180550010000266271351276349","NFE_ACCESS_CODE",
"3PCustomerSales","280132976187201","SUCCESSFUL","52230339677746000170550020000334621379202409","NFE_ACCESS_CODE",
"3PCustomerSales","280129790390201","SUCCESSFUL","52230339677746000170550020000334761379224955","NFE_ACCESS_CODE",
"3PCustomerSales","280061809027201","SUCCESSFUL","52230339677746000170550020000335191386592939","NFE_ACCESS_CODE",
"3PCustomerSales","280434122119201","SUCCESSFUL","35230322317436000141550010000201101372391270","NFE_ACCESS_CODE",
"3PCustomerSales","280143255222201","SUCCESSFUL","52230339677746000170550020000334601379198580","NFE_ACCESS_CODE",
